Name,Year,Genre,Critic_Score,Global_Sales,Platform,cat_publi,cat_studio
Another Code R: A Journey into Lost Memories,2009,Adventure,5.9,0.06,Wii,3,2
Anubis II,2007,Platform,1.5,0.07,Wii,1,0
Apache: Air Assault,2010,Simulation,6.8,0.16,X360,3,2
Ape Academy 2,2006,Misc,6.4,0.0,PSP,3,2
Ape Escape,1999,Platform,9.3,1.63,PS,3,3
Ape Escape 2,2003,Platform,8.0,0.63,PS2,3,3
Ape Escape 3,2006,Platform,7.8,0.13,PS2,3,3
Ape Escape Academy,2006,Party,5.3,0.33,PSP,3,2
Ape Escape: On the Loose,2005,Platform,6.6,0.7,PSP,3,2
Apocalypse,1998,Action,6.7,0.45,PS,3,3
Apollo Justice: Ace Attorney,2008,Adventure,8.0,0.99,DS,3,3
Aquaman: Battle for Atlantis,2003,Action,2.4,0.01,GC,2,0
Aquanaut's Holiday,1995,Adventure,8.0,0.02,PS,3,1
Ar tonelico 2: Melody of Metafalica,2009,Role-Playing,7.2,0.18,PS2,3,2
Ar tonelico Qoga: Knell of Ar Ciel,2011,Role-Playing,7.0,0.24,PS3,3,2
Ar tonelico: Melody of Elemia,2007,Role-Playing,7.0,0.1,PS2,1,2
Arc Rise Fantasia,2010,Role-Playing,6.3,0.19,Wii,2,2
Arc the Lad: Twilight of the Spirits,2003,Role-Playing,7.3,0.36,PS2,3,2
Arcade Party Pak,1999,Misc,7.6,0.11,PS,3,3
Arcana Heart,2008,Fighting,8.1,0.16,PS2,3,1
Arcana Heart 3,2014,Fighting,7.0,0.2,PS3,2,1
Arcania: Gothic 4,2010,Role-Playing,5.8,0.27,PC,1,1
Archer Maclean's Mercury,2005,Puzzle,7.7,0.56,PSP,2,2
Are You Smarter than a 5th Grader? Game Time,2009,Puzzle,4.0,0.12,X360,3,3
Area 51,2005,Shooter,7.7,0.45,PS2,3,2
Armored Core,1997,Simulation,7.2,0.41,PS,3,3
Armored Core 4,2007,Simulation,6.5,0.45,PS3,3,3
Armored Core SL: Silent Line Portable,2009,Simulation,5.8,0.03,PSP,0,3
Armored Core: For Answer,2008,Simulation,6.1,0.33999999999999997,PS3,3,3
Armored Core: Formula Front Extreme Battle,2005,Simulation,6.7,0.05,PSP,2,3
Armored Core: Last Raven Portable,2010,Simulation,5.0,0.03,PSP,0,3
Armored Core: Master of Arena,2000,Simulation,7.2,0.26,PS,2,3
Armored Core: Project Phantasma,1998,Simulation,7.2,0.28,PS,2,3
Armorines: Project S.W.A.R.M.,1999,Shooter,3.2,0.34,N64,3,1
Army Men Advance,2001,Action,6.1,0.0,GBA,2,3
Army Men: Air Combat,2000,Action,7.6,0.24,N64,2,2
Army Men: Air Combat - The Elite Missions,2003,Shooter,3.8,0.01,GC,2,2
Army Men: Operation Green,2001,Action,6.2,0.0,GBA,2,0
Army Men: RTS,2002,Strategy,6.1,0.18,GC,2,3
Army Men: Sarge's Heroes,1999,Shooter,4.2,0.81,N64,2,2
Army Men: Sarge's Heroes 2,2000,Shooter,6.0,0.42,N64,2,2
Army of Two,2008,Shooter,6.7,2.8099999999999996,PS3,3,3
Army of Two: The 40th Day,2010,Shooter,7.1,2.16,Multi_Plateforme,3,3
Around the World in 80 Days,2004,Action,3.5,0.05,GBA,1,1
Art Academy,2010,Misc,6.8,2.52,DS,3,3
Art Academy: Lessons for Everyone!,2012,Misc,8.0,0.49,3DS,3,3
Ashes Cricket 2009,2009,Sports,6.8,0.17,PS3,3,1
Asphalt 3D,2011,Racing,4.0,0.49,3DS,3,3
Asphalt: Urban GT,2004,Racing,5.0,0.59,DS,3,2
Assassin's Creed,2007,Action,8.2,11.29,Multi_Plateforme,3,3
Assassin's Creed II,2009,Action,8.5,11.41,Multi_Plateforme,3,3
Assassin's Creed II: Discovery,2009,Platform,7.3,0.28,DS,3,2
Assassin's Creed III,2012,Action-Adventure,7.7,7.75,Multi_Plateforme,3,3
Assassin's Creed IV: Black Flag,2013,Action-Adventure,8.5,13.709999999999999,Multi_Plateforme,3,3
Assassin's Creed Odyssey,2018,Action-Adventure,9.5,3.18,PS4,3,3
Assassin's Creed Rogue Remastered,2018,Action-Adventure,6.0,0.04,XOne,3,3
Assassin's Creed Syndicate,2015,Action,8.6,3.6,PS4,3,3
Assassin's Creed: Altair's Chronicles,2008,Action,5.7,0.05,DS,3,2
Assassin's Creed: Bloodlines,2009,Action,6.3,1.26,PSP,3,2
